"TimeStamp","DispFrames"
1409264779,17.2699992657
1409264780,22.4399995804
1409264781,24
1409264782,20.9500005245
1409264783,15.3400006294
1409264784,17.8799991608
1409264785,22.8299996853
1409264786,24
1409264787,20.3400006294
1409264788,14.9500005245
1409264789,17.8799991608
1409264790,22.8299996853
1409264791,24
1409264792,17.900001049
1409264793,13.3900001049
1409264794,17.8799991608
1409264795,22.8299996853
1409264796,24
1409264797,18.5100009441
1409264798,13.7800002098
1409264799,17.2699992657
1409264800,23.0499994755
1409264801,23.1700003147
1409264802,16.5100009441
1409264803,13
1409264804,17.2699992657
1409264805,22.4399995804
1409264806,19.7300007343
1409264807,14.5600004196
1409264808,13.6099998951
1409264809,17.0499994755
1409264810,22.0499994755
1409264811,20.3400006294
1409264812,14.9500005245
1409264813,13
1409264814,16.6599993706
1409264815,21.4399995804
1409264816,20.5600004196
1409264817,15.3400006294
1409264818,13
1409264819,17.2699992657
1409264820,21.8299996853
1409264821,19.9500005245
1409264822,15.5600004196
1409264823,13.3900001049
1409264824,16.0499994755
1409264825,21.0499994755
1409264826,19.9500005245
1409264827,14.9500005245
1409264828,13.6099998951
1409264829,15.8299996853
1409264830,21.2699992657
1409264831,20.3400006294
1409264832,15.5600004196
1409264833,13.3900001049
1409264834,15.4399995804
1409264835,20.6599993706
1409264836,19.3400006294
1409264837,14.5600004196
1409264838,13.6099998951
1409264839,15.8299996853
1409264840,20.6599993706
1409264841,17.5100009441
1409264842,13.3900001049
1409264843,13.6099998951
1409264844,15.2199997902
1409264845,20.8799991608
1409264846,18.5100009441
1409264847,13.7800002098
1409264848,13
1409264849,14.8299996853
1409264850,20.8799991608
1409264851,20.9500005245
1409264852,15.3400006294
1409264853,13
1409264854,14.2199997902
1409264855,20.4899990559
1409264856,21.5600004196
1409264857,15.7300007343
1409264858,13
1409264859,14.2199997902
1409264860,20.4899990559
1409264861,20.3400006294
1409264862,14.9500005245
1409264863,13
1409264864,13.6099998951
1409264865,20.099998951
1409264866,19.7300007343
1409264867,14.5600004196
1409264868,13
1409264869,13.6099998951
1409264870,20.099998951
1409264871,18.5100009441
1409264872,13.7800002098
1409264873,13.6099998951
1409264874,14.6099998951
1409264875,19.8799991608
1409264876,18.1200008392
1409264877,13.7800002098
1409264878,13
1409264879,13.6099998951
1409264880,20.099998951
1409264881,17.900001049
1409264882,13.3900001049
1409264883,13
1409264884,13
1409264885,19.099998951
1409264886,18.7300007343
1409264887,14.1700003147
1409264888,13
1409264889,13.6099998951
1409264890,19.4899990559
1409264891,19.3400006294
1409264892,14.5600004196
1409264893,13
1409264894,13
1409264895,19.7099988461
1409264896,18.5100009441
1409264897,14.3900001049
1409264898,13.3900001049
1409264899,13
1409264900,19.099998951
1409264901,18.1200008392
1409264902,13.7800002098
1409264903,13.6099998951
1409264904,13.3900001049
1409264905,17.2699992657
1409264906,20
1409264907,15.7300007343
1409264908,13
1409264909,13
1409264910,19.099998951
1409264911,19.9500005245
1409264912,14.9500005245
1409264913,13
1409264914,13
1409264915,19.099998951
1409264916,19.9500005245
1409264917,14.9500005245
1409264918,13
1409264919,13.6099998951
1409264920,18.2699992657
1409264921,19.7800002098
1409264922,15.3400006294
1409264923,13
1409264924,13
1409264925,19.099998951
1409264926,21.1700003147
1409264927,15.7300007343
1409264928,13
1409264929,13
1409264930,19.7099988461
1409264931,19.7300007343
1409264932,14.5600004196
1409264933,13.6099998951
1409264934,13.3900001049
1409264935,17.8799991608
1409264936,20.3900001049
1409264937,15.7300007343
1409264938,13
1409264939,13
1409264940,19.7099988461
1409264941,23.3900001049
1409264942,16.900001049
1409264943,13
1409264944,13
1409264945,19.7099988461
1409264946,24.6099998951
1409264947,18.2900011539
1409264948,13.3900001049
1409264949,13
1409264950,19.7099988461
1409264951,24
1409264952,17.900001049
1409264953,13.3900001049
1409264954,13
1409264955,19.099998951
1409264956,23.6099998951
1409264957,17.2900011539
1409264958,13.6099998951
1409264959,13.3900001049
1409264960,20.3199987411
1409264961,25
1409264962,22.5600004196
1409264963,16.1200008392
1409264964,13.6099998951
1409264965,20.7099988461
1409264966,25
1409264967,22.5600004196
1409264968,16.7300007343
1409264969,14.6099998951
1409264970,20.4899990559
1409264971,24
1409264972,17.900001049
1409264973,13.3900001049
1409264974,14.2199997902
1409264975,21.099998951
1409264976,24.3900001049
1409264977,17.900001049
1409264978,13.3900001049
1409264979,14.2199997902
1409264980,19.8799991608
1409264981,24.2199997902
1409264982,18.900001049
1409264983,13.7800002098
1409264984,14.2199997902
1409264985,21.099998951
1409264986,24.3900001049
1409264987,20.3400006294
1409264988,14.9500005245
1409264989,14.8299996853
1409264990,20.8799991608
1409264991,24.6099998951
1409264992,18.900001049
1409264993,13.7800002098
1409264994,15.4399995804
1409264995,21.2699992657
1409264996,24.6099998951
1409264997,20.1200008392
1409264998,14.5600004196
1409264999,15.4399995804
1409265000,21.2699992657
1409265001,24
1409265002,20.9500005245
1409265003,15.3400006294
1409265004,15.4399995804
1409265005,21.2699992657
1409265006,24.6099998951
1409265007,18.900001049
1409265008,13.7800002098
1409265009,15.4399995804
1409265010,21.8799991608
1409265011,24.3900001049
1409265012,17.900001049
1409265013,13.3900001049
1409265014,15.4399995804
1409265015,21.2699992657
1409265016,22.1700003147
1409265017,16.1200008392
1409265018,13
1409265019,15.4399995804
1409265020,21.2699992657
1409265021,22.1700003147
1409265022,16.7300007343
1409265023,13.3900001049
1409265024,15.4399995804
1409265025,21.2699992657
1409265026,22.7800002098
1409265027,16.5100009441
1409265028,13
1409265029,15.4399995804
1409265030,21.2699992657
1409265031,23.3900001049
1409265032,17.5100009441
1409265033,13.3900001049
1409265034,14.8299996853
1409265035,20.8799991608
1409265036,22.1700003147
1409265037,16.1200008392
1409265038,13
1409265039,15.4399995804
1409265040,21.2699992657
1409265041,22.1700003147
1409265042,16.1200008392
1409265043,13
1409265044,14.8299996853
1409265045,20.8799991608
1409265046,21.5600004196
1409265047,16.3400006294
1409265048,13.3900001049
1409265049,14.8299996853
1409265050,20.8799991608
1409265051,21.5600004196
1409265052,15.7300007343
1409265053,13
1409265054,14.8299996853
1409265055,21.4899990559
1409265056,23.1700003147
1409265057,16.5100009441
1409265058,13
1409265059,14.2199997902
1409265060,20.4899990559
1409265061,24
1409265062,18.5100009441
1409265063,13.7800002098
1409265064,14.2199997902
1409265065,20.4899990559
1409265066,20.9500005245
1409265067,15.9500005245
1409265068,13.3900001049
1409265069,14.2199997902
1409265070,20.4899990559
1409265071,20.9500005245
1409265072,15.3400006294
1409265073,13
1409265074,14.2199997902
1409265075,20.4899990559
1409265076,22.1700003147
1409265077,16.1200008392
1409265078,13
1409265079,14.2199997902
1409265080,20.4899990559
1409265081,20.9500005245
1409265082,15.3400006294
1409265083,13
1409265084,13
1409265085,20.3199987411
1409265086,22.5600004196
1409265087,16.1200008392
1409265088,13
1409265089,13
1409265090,20.3199987411
1409265091,22.5600004196
1409265092,16.1200008392
1409265093,13
1409265094,13.6099998951
1409265095,20.099998951
1409265096,21.5600004196
1409265097,15.7300007343
1409265098,13
1409265099,14.2199997902
1409265100,19.8799991608
1409265101,23
1409265102,16.900001049
1409265103,13
1409265104,13.6099998951
1409265105,19.4899990559
1409265106,20.5600004196
1409265107,15.3400006294
1409265108,13.6099998951
1409265109,13.3900001049
1409265110,19.7099988461
1409265111,24
1409265112,20.9500005245
1409265113,15.3400006294
1409265114,13.6099998951
1409265115,20.7099988461
1409265116,25
1409265117,21.9500005245
1409265118,15.7300007343
1409265119,13.6099998951
1409265120,20.099998951
1409265121,24.6099998951
1409265122,22.5600004196
1409265123,16.7300007343
1409265124,14.6099998951
1409265125,21.099998951
1409265126,25
1409265127,24.3900001049
1409265128,17.900001049
1409265129,15.2199997902
1409265130,20.8799991608
1409265131,24.6099998951
1409265132,24.3900001049
1409265133,17.2900011539
1409265134,16.0499994755
1409265135,22.2699992657
1409265136,24.3900001049
1409265137,24
1409265138,17.2900011539
1409265139,16.6599993706
1409265140,22.0499994755
1409265141,24.6099998951
1409265142,25
1409265143,18.2900011539
1409265144,17.0499994755
1409265145,22.6599993706
1409265146,25
1409265147,24.3900001049
1409265148,18.5100009441
1409265149,18.0499994755
1409265150,23.0499994755
1409265151,25
1409265152,24.3900001049
1409265153,20.9500005245
1409265154,20.8299996853
1409265155,23.8299996853
1409265156,24.3900001049
1409265157,24
1409265158,20.9500005245
1409265159,20.8299996853
1409265160,23.8299996853
1409265161,24.3900001049
1409265162,24.6099998951
1409265163,20.1200008392
1409265164,21.2699992657
1409265165,24
1409265166,24.6099998951
1409265167,24.3900001049
1409265168,21.5600004196
1409265169,21.8299996853
1409265170,23.6099998951
1409265171,24
1409265172,24
1409265173,18.5100009441
1409265174,19.8799991608
1409265175,23.6099998951
1409265176,24
1409265177,22.1700003147
1409265178,16.7300007343
1409265179,19.4899990559
1409265180,23.6099998951
1409265181,24.6099998951
1409265182,24.3900001049
1409265183,18.5100009441
1409265184,20.4899990559
1409265185,24
1409265186,24.6099998951
1409265187,24.3900001049
1409265188,20.3400006294
1409265189,21.6599993706
1409265190,24.6099998951
1409265191,24.3900001049
1409265192,24
1409265193,18.5100009441
1409265194,19.8799991608
1409265195,23.6099998951
1409265196,24
1409265197,19.7300007343
1409265198,14.5600004196
1409265199,18.4899990559
1409265200,18.9500005245
1409265201,14.5600004196
1409265202,7.51000094414
1409265203,7.04999947548
1409265204,12.0499994755
1409265205,13.3900001049
1409265206,13
1409265207,10.5600004196
1409265208,5.34000062943
1409265209,9.70999884605
1409265210,13.3900001049
1409265211,13
1409265212,13.6099998951
1409265213,13.3900001049
1409265214,13
1409265215,13.6099998951
1409265216,13.3900001049
1409265217,13
1409265218,13.6099998951
1409265219,14
1409265220,13.3900001049
1409265221,13
1409265222,13
1409265223,13
1409265224,13
1409265225,13.6099998951
1409265226,13.3900001049
1409265227,13
1409265228,14.8299996853
1409265229,14.1700003147
1409265230,13
1409265231,13.6099998951
1409265232,13.3900001049
1409265233,14.2199997902
1409265234,13.7800002098
1409265235,13
1409265236,13
1409265237,13.6099998951
1409265238,15.2199997902
1409265239,14.1700003147
1409265240,13
1409265241,13
1409265242,13
1409265243,14.8299996853
1409265244,14.1700003147
1409265245,13.6099998951
1409265246,13.3900001049
1409265247,13
1409265248,14.2199997902
1409265249,15
1409265250,13.7800002098
1409265251,13
1409265252,13
1409265253,15.4399995804
1409265254,14.5600004196
1409265255,13
1409265256,13
1409265257,13
1409265258,14.8299996853
1409265259,14.1700003147
1409265260,13
1409265261,13.6099998951
1409265262,13.3900001049
1409265263,14.2199997902
1409265264,13.7800002098
1409265265,13
1409265266,13
1409265267,13
1409265268,14.8299996853
1409265269,14.7800002098
1409265270,13.3900001049
1409265271,13
1409265272,13
1409265273,14.8299996853
1409265274,14.7800002098
1409265275,13.3900001049
1409265276,13
1409265277,13
1409265278,15.4399995804
1409265279,15.1700003147
1409265280,13.3900001049
1409265281,13
1409265282,13
1409265283,14.8299996853
1409265284,14.7800002098
1409265285,14
1409265286,13.3900001049
1409265287,13
1409265288,15.4399995804
1409265289,15.7800002098
1409265290,13.7800002098
1409265291,13
1409265292,13
1409265293,15.4399995804
1409265294,16.3900001049
1409265295,14.1700003147
1409265296,13
1409265297,13
1409265298,14.8299996853
1409265299,15.3900001049
1409265300,13.7800002098
1409265301,13
1409265302,13
1409265303,14.8299996853
1409265304,14.1700003147
1409265305,13
1409265306,13.6099998951
1409265307,13.3900001049
1409265308,14.8299996853
1409265309,14.1700003147
1409265310,13
1409265311,13
1409265312,13.6099998951
1409265313,14
1409265314,13.3900001049
1409265315,13.6099998951
1409265316,13.3900001049
1409265317,13
1409265318,14.8299996853
1409265319,14.1700003147
1409265320,13
1409265321,13
1409265322,13
1409265323,14.2199997902
1409265324,13.7800002098
1409265325,13
1409265326,13
1409265327,13.6099998951
1409265328,14.6099998951
1409265329,13.7800002098
1409265330,13
1409265331,13
1409265332,13.6099998951
1409265333,14.6099998951
1409265334,14.3900001049
1409265335,13.3900001049
1409265336,13
1409265337,13
1409265338,13.6099998951
1409265339,13.3900001049
1409265340,13
1409265341,13.6099998951
1409265342,13.3900001049
1409265343,15.4399995804
1409265344,15.7800002098
1409265345,13.7800002098
1409265346,13
1409265347,13
1409265348,16.0499994755
1409265349,17.3900001049
1409265350,14.5600004196
1409265351,13
1409265352,13
1409265353,14.8299996853
1409265354,14.7800002098
1409265355,13.3900001049
1409265356,13
1409265357,13.6099998951
1409265358,14.6099998951
1409265359,16.8299996853
1409265360,15.5600004196
1409265361,13.3900001049
1409265362,13
1409265363,14.8299996853
1409265364,14.1700003147
1409265365,13
1409265366,13
1409265367,13.6099998951
1409265368,14.6099998951
1409265369,15
1409265370,13.7800002098
1409265371,13
1409265372,13
1409265373,14.8299996853
1409265374,14.1700003147
1409265375,13
1409265376,13.6099998951
1409265377,13.3900001049
1409265378,14.2199997902
1409265379,14.3900001049
1409265380,14
1409265381,13.3900001049
1409265382,13
1409265383,15.4399995804
1409265384,18.8299996853
1409265385,15.7300007343
1409265386,13
1409265387,13
1409265388,14.8299996853
1409265389,19.0499994755
1409265390,16.1200008392
1409265391,13
1409265392,13
1409265393,14.2199997902
1409265394,14.3900001049
1409265395,13.3900001049
1409265396,13
1409265397,13
1409265398,14.8299996853
1409265399,14.7800002098
1409265400,13.3900001049
1409265401,13
1409265402,13
1409265403,14.8299996853
1409265404,14.7800002098
1409265405,14
1409265406,13.3900001049
1409265407,13
1409265408,14.8299996853
1409265409,14.1700003147
1409265410,13
1409265411,13
1409265412,13.6099998951
1409265413,15.8299996853
1409265414,14.5600004196
1409265415,13
1409265416,13
1409265417,13.6099998951
1409265418,15.2199997902
1409265419,16
1409265420,14.1700003147
1409265421,13
1409265422,13
1409265423,15.4399995804
1409265424,15.7800002098
1409265425,13.7800002098
1409265426,13.6099998951
1409265427,13.3900001049
1409265428,14.8299996853
1409265429,15.3900001049
1409265430,13.7800002098
1409265431,13
1409265432,13
1409265433,15.4399995804
1409265434,15.1700003147
1409265435,13.3900001049
1409265436,13
1409265437,13
1409265438,14.2199997902
1409265439,15.6099998951
1409265440,14.1700003147
1409265441,13
1409265442,13
1409265443,14.8299996853
1409265444,14.7800002098
1409265445,13.3900001049
1409265446,13
1409265447,13
1409265448,14.8299996853
1409265449,14.7800002098
1409265450,13.3900001049
1409265451,13
1409265452,13.6099998951
1409265453,14.6099998951
1409265454,13.7800002098
1409265455,13
1409265456,13
1409265457,13.6099998951
1409265458,14.6099998951
1409265459,13.7800002098
1409265460,13
1409265461,13.6099998951
1409265462,13.3900001049
1409265463,13.6099998951
1409265464,14
1409265465,13.3900001049
1409265466,13
1409265467,13
1409265468,14.8299996853
1409265469,14.7800002098
1409265470,13.3900001049
1409265471,13
1409265472,13
1409265473,14.2199997902
1409265474,14.3900001049
1409265475,13.3900001049
1409265476,13
1409265477,13
1409265478,15.4399995804
1409265479,14.5600004196
1409265480,13
1409265481,13
1409265482,13
1409265483,14.8299996853
1409265484,14.1700003147
1409265485,13
1409265486,13
1409265487,13
1409265488,14.2199997902
1409265489,13.7800002098
1409265490,13.6099998951
1409265491,13.3900001049
1409265492,13
1409265493,14.2199997902
1409265494,13.7800002098
1409265495,13
1409265496,13
1409265497,13
1409265498,13
1409265499,11.1700003147
1409265500,10
1409265501,12.4399995804
1409265502,13.3900001049
1409265503,13.6099998951
1409265504,13.3900001049
1409265505,13
1409265506,13
1409265507,13.6099998951
1409265508,13.3900001049
1409265509,13
1409265510,13
1409265511,13.6099998951
1409265512,13.3900001049
1409265513,14.2199997902
1409265514,13.7800002098
1409265515,13.6099998951
1409265516,13.3900001049
1409265517,13
1409265518,14.2199997902
1409265519,13.7800002098
1409265520,13
1409265521,13
1409265522,13
1409265523,13.6099998951
1409265524,13.3900001049
1409265525,13
1409265526,13
1409265527,13
1409265528,13.6099998951
1409265529,14
1409265530,13.3900001049
1409265531,13
1409265532,13
1409265533,14.2199997902
1409265534,13.7800002098
1409265535,13
1409265536,13
1409265537,13.6099998951
1409265538,14.6099998951
1409265539,13.7800002098
1409265540,13
1409265541,13
1409265542,13
1409265543,14.2199997902
1409265544,14.3900001049
1409265545,13.3900001049
1409265546,13
1409265547,13
1409265548,14.2199997902
1409265549,14.3900001049
1409265550,13.3900001049
1409265551,13
1409265552,13
1409265553,14.8299996853
1409265554,14.1700003147
1409265555,13
1409265556,13
1409265557,13
1409265558,14.8299996853
1409265559,14.1700003147
1409265560,13
1409265561,13
1409265562,13.6099998951
1409265563,14.6099998951
1409265564,13.7800002098
1409265565,13
1409265566,13
1409265567,13
1409265568,15.4399995804
1409265569,14.5600004196
1409265570,13.6099998951
1409265571,13.3900001049
1409265572,13
1409265573,14.2199997902
1409265574,13.7800002098
1409265575,13
1409265576,13
1409265577,13
1409265578,14.2199997902
1409265579,13.7800002098
1409265580,13
1409265581,13.6099998951
1409265582,13.3900001049
1409265583,14.2199997902
1409265584,13.7800002098
1409265585,13.6099998951
1409265586,13.3900001049
1409265587,13
1409265588,14.2199997902
1409265589,13.7800002098
1409265590,13
1409265591,13
1409265592,13
1409265593,14.8299996853
1409265594,14.1700003147
1409265595,13
1409265596,13
1409265597,13
1409265598,14.8299996853
1409265599,14.1700003147
1409265600,13
1409265601,13
1409265602,13.6099998951
1409265603,15.2199997902
1409265604,14.1700003147
1409265605,13
1409265606,13
1409265607,13.6099998951
1409265608,14.6099998951
1409265609,13.7800002098
1409265610,13
1409265611,13.6099998951
1409265612,13.3900001049
1409265613,14.8299996853
1409265614,14.1700003147
1409265615,13
1409265616,13
1409265617,13
1409265618,14.8299996853
1409265619,14.1700003147
1409265620,13.6099998951
1409265621,13.3900001049
1409265622,13
1409265623,15.4399995804
1409265624,16.3900001049
1409265625,14.1700003147
1409265626,13.6099998951
1409265627,13.3900001049
1409265628,14.8299996853
1409265629,15.3900001049
1409265630,13.7800002098
1409265631,13
1409265632,13
1409265633,14.8299996853
1409265634,16
1409265635,14.1700003147
1409265636,13
1409265637,13
1409265638,15.4399995804
1409265639,14.5600004196
1409265640,13
1409265641,13.6099998951
1409265642,13.3900001049
1409265643,14.8299996853
1409265644,16.6099998951
1409265645,14.5600004196
1409265646,13
1409265647,13
1409265648,15.4399995804
1409265649,15.1700003147
1409265650,13.3900001049
1409265651,13.6099998951
1409265652,13.3900001049
1409265653,15.4399995804
1409265654,15.1700003147
1409265655,13.3900001049
1409265656,13
1409265657,13
1409265658,15.4399995804
1409265659,15.7800002098
1409265660,13.7800002098
1409265661,13.6099998951
1409265662,13.3900001049
1409265663,14.8299996853
1409265664,15.3900001049
1409265665,13.7800002098
1409265666,13
1409265667,13.6099998951
1409265668,15.2199997902
1409265669,15.3900001049
1409265670,13.7800002098
1409265671,13
1409265672,13
1409265673,15.4399995804
1409265674,18.2199997902
1409265675,15.3400006294
1409265676,13
1409265677,13
1409265678,14.8299996853
1409265679,15.3900001049
1409265680,13.7800002098
1409265681,13.6099998951
1409265682,13.3900001049
1409265683,15.4399995804
1409265684,15.7800002098
1409265685,13.7800002098
1409265686,13
1409265687,13
1409265688,15.4399995804
1409265689,20.0499994755
1409265690,16.5100009441
1409265691,13
1409265692,13
1409265693,16.0499994755
1409265694,15.5600004196
1409265695,13.3900001049
1409265696,13
1409265697,13
1409265698,15.4399995804
1409265699,15.1700003147
1409265700,13.3900001049
1409265701,13.6099998951
1409265702,13.3900001049
1409265703,15.4399995804
1409265704,15.1700003147
1409265705,13.3900001049
1409265706,13
1409265707,13
1409265708,16.0499994755
1409265709,14.9500005245
1409265710,13
1409265711,13
1409265712,13.6099998951
1409265713,15.8299996853
1409265714,14.5600004196
1409265715,13
1409265716,13
1409265717,13
1409265718,15.4399995804
1409265719,15.7800002098
1409265720,13.7800002098
1409265721,13
1409265722,13.6099998951
1409265723,15.2199997902
1409265724,14.7800002098
1409265725,14
1409265726,13.3900001049
1409265727,13
1409265728,14.8299996853
1409265729,16
1409265730,14.1700003147
1409265731,13
1409265732,13
1409265733,14.8299996853
1409265734,14.7800002098
1409265735,13.3900001049
1409265736,13
1409265737,13.6099998951
1409265738,15.2199997902
1409265739,14.7800002098
1409265740,13.3900001049
1409265741,13
1409265742,13
1409265743,14.8299996853
1409265744,15.3900001049
1409265745,13.7800002098
1409265746,13
1409265747,13
1409265748,14.8299996853
1409265749,14.7800002098
1409265750,13.3900001049
1409265751,13
1409265752,13
1409265753,14.2199997902
1409265754,14.3900001049
1409265755,13.3900001049
1409265756,13
1409265757,13
1409265758,14.8299996853
1409265759,14.1700003147
1409265760,13
1409265761,13
1409265762,13.6099998951
1409265763,14.6099998951
1409265764,13.7800002098
1409265765,13
1409265766,13.6099998951
1409265767,13.3900001049
1409265768,13.6099998951
1409265769,14
1409265770,13.3900001049
1409265771,13
1409265772,13
1409265773,14.2199997902
1409265774,13.7800002098
1409265775,13
1409265776,13
1409265777,13
1409265778,14.2199997902
1409265779,13.7800002098
1409265780,13
1409265781,13.6099998951
1409265782,13.3900001049
1409265783,14.2199997902
1409265784,13.7800002098
1409265785,13
1409265786,13
1409265787,13
1409265788,13
1409265789,13.6099998951
1409265790,13.3900001049
1409265791,13
1409265792,8.12000083923
1409265793,1.95000052452
1409265794,0
1409265795,0
1409265796,0
1409265797,0
1409265798,0
1409265799,0
1409265800,0
1409265801,0
1409265802,0
1409265803,0
1409265804,9.14999842644
1409265805,13.7800002098
1409265806,13
1409265807,13.6099998951
1409265808,14
1409265809,13.3900001049
1409265810,13
1409265811,13
1409265812,13.6099998951
1409265813,14
1409265814,14
1409265815,13.3900001049
1409265816,13
1409265817,13
1409265818,13.6099998951
1409265819,13.3900001049
1409265820,13
1409265821,13
1409265822,13
1409265823,14.2199997902
1409265824,13.7800002098
1409265825,13.6099998951
1409265826,13.3900001049
1409265827,13
1409265828,14.2199997902
1409265829,13.7800002098
1409265830,13
1409265831,13
1409265832,13
1409265833,13.6099998951
1409265834,13.3900001049
1409265835,13
1409265836,13.6099998951
1409265837,13.3900001049
1409265838,13
1409265839,13
1409265840,13
1409265841,13.6099998951
1409265842,14.6099998951
1409265843,13.7800002098
1409265844,13.6099998951
1409265845,13.3900001049
1409265846,13
1409265847,13
1409265848,13
1409265849,13
1409265850,13
1409265851,13
1409265852,13.6099998951
1409265853,13.3900001049
1409265854,13
1409265855,13
1409265856,13
1409265857,13
1409265858,13.6099998951
1409265859,13.3900001049
1409265860,13
1409265861,13
1409265862,13
1409265863,13
1409265864,13
1409265865,9.95000052452
1409265866,11.0499994755
1409265867,13
1409265868,13
1409265869,13
1409265870,13
1409265871,13.6099998951
1409265872,13.3900001049
1409265873,13
1409265874,13
1409265875,13
1409265876,13
1409265877,13
1409265878,13.6099998951
1409265879,13.3900001049
1409265880,13
1409265881,13
1409265882,13
1409265883,13
1409265884,13
1409265885,13.6099998951
1409265886,13.3900001049
1409265887,13
1409265888,13
1409265889,13
1409265890,13
1409265891,13
1409265892,13
1409265893,13.6099998951
1409265894,13.3900001049
1409265895,13
1409265896,13
1409265897,13
1409265898,13
1409265899,13
1409265900,13.6099998951
1409265901,13.3900001049
1409265902,13
1409265903,13
1409265904,13
1409265905,13
1409265906,13
1409265907,13.6099998951
1409265908,13.3900001049
1409265909,13
1409265910,13
1409265911,13
1409265912,13
1409265913,13
1409265914,13.6099998951
1409265915,13.3900001049
1409265916,13
1409265917,13
1409265918,13
1409265919,13
1409265920,13
